country,date,name,kind,movable,source,verified
AM,2024-05-09,День победы и мира,victory,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-05-28,День Первой Республики,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-07-05,День Конституции,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-09-21,День независимости,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2024-12-31,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-01-01,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-01-02,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-01-06,Святое Рождество и Богоявление,religious,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-01-28,День армии,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-03-08,Международный женский день,womens,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-04-24,День памяти жертв геноцида армян,other,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-05-01,День труда,labour,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-05-09,День победы и мира,victory,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-05-28,День Первой Республики,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-07-05,День Конституции,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-09-21,День независимости,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2025-12-31,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-01-01,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-01-02,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-01-06,Святое Рождество и Богоявление,religious,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-01-27,День памяти погибших за защиту Отечества,other,no,https://www.arlis.am/hy/acts/219769,primary
AM,2026-01-28,День армии,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-03-08,Международный женский день,womens,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-04-24,День памяти жертв геноцида армян,other,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-05-01,День труда,labour,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-05-09,День победы и мира,victory,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-05-28,День Первой Республики,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-07-05,День Конституции,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-09-21,День независимости,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2026-12-31,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
KG,2018-01-01,Новый год,newyear,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2018-01-07,Рождество Христово,religious,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2018-02-23,День защитника Отечества,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2018-03-08,Международный женский день,womens,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2018-03-21,Народный праздник Нооруз,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2018-04-07,День народной Апрельской революции,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2018-05-01,Праздник труда,labour,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2018-05-05,День Конституции,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2018-05-09,День Победы,victory,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2018-06-15,Орозо айт,religious,yes,https://24.kg/obschestvo/87359_15nbspiyunya_vnbspkyirgyizstanenbspmdash_orozo_ayt/,secondary
KG,2018-08-21,Курман айт,religious,yes,https://24.kg/obschestvo/93355_kurman_ayt_vnbspkyirgyizstane_otmetyat_21nbspavgusta/,secondary
KG,2018-08-31,День независимости,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2018-11-07,Дни истории и памяти предков,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2018-11-08,Дни истории и памяти предков,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2019-01-01,Новый год,newyear,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
