corridor,indicator,split,window,params,feasible,n_feasible,fitted
UZS,ml_localmin,0,2021-01…2021-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 1.0, ""_fitted"": true, ""_pos_rate_val"": NaN}",,,True
UZS,momentum,1,2021-07…2021-12,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9725}",True,4.0,
UZS,level,1,2021-07…2021-12,"{""window"": 120, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 57, ""_score"": 1.4396}",True,57.0,
UZS,reversal,1,2021-07…2021-12,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 1.2797}",True,19.0,
UZS,seasonality,1,2021-07…2021-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 0.9802}",False,0.0,
UZS,dip_vs_trend,1,2021-07…2021-12,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.4878}",True,6.0,
UZS,ml_localmin,1,2021-07…2021-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0426, ""_fitted"": true, ""_pos_rate_val"": 0.289}",,,True
UZS,momentum,2,2022-01…2022-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9529}",True,4.0,
UZS,level,2,2022-01…2022-06,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 59, ""_score"": 1.3232}",True,59.0,
UZS,reversal,2,2022-01…2022-06,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 21, ""_score"": 1.2797}",True,21.0,
UZS,seasonality,2,2022-01…2022-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,2,2022-01…2022-06,"{""span"": 80, ""window"": 120, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 5, ""_score"": 1.5271}",True,5.0,
UZS,ml_localmin,2,2022-01…2022-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0001, ""_fitted"": true, ""_pos_rate_val"": 1.0}",,,True
UZS,momentum,3,2022-07…2022-12,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9303}",True,4.0,
UZS,level,3,2022-07…2022-12,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 58, ""_score"": 1.3232}",True,58.0,
UZS,reversal,3,2022-07…2022-12,"{""window"": 60, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 20, ""_score"": 1.2746}",True,20.0,
UZS,seasonality,3,2022-07…2022-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,3,2022-07…2022-12,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.4878}",True,7.0,
UZS,ml_localmin,3,2022-07…2022-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0001, ""_fitted"": true, ""_pos_rate_val"": 1.0}",,,True
UZS,momentum,4,2023-01…2023-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9517}",True,4.0,
UZS,level,4,2023-01…2023-06,"{""window"": 120, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 58, ""_score"": 1.3218}",True,58.0,
UZS,reversal,4,2023-01…2023-06,"{""window"": 120, ""rise_bps"": 80, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 1.3493}",True,19.0,
UZS,seasonality,4,2023-01…2023-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
