indicator,k,scope,country,corridor,split,window,scenario,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
holiday:k5:major,5,major,KG,KGS,2,2022-01…2022-06,BUY_NOW,20,25.0,10,10,0.0,0.10256410256410256,0.0,,,0.0,0.39316239316239315,0.0,-949.2726787048175,-134.33666686632213,-814.9360118384953,,,,,,,-340.9392276550171,-510.76714079209216,0.3867403314917127,0.8888888888888888,2.0797258270192573,63.0,0.6666666666666666
holiday:k5:major,5,major,KG,KGS,3,2022-07…2022-12,BUY_NOW,20,25.0,15,15,0.0,0.2846153846153846,0.0,,,0.2,0.5769230769230769,0.34666666666666673,-174.76447059125206,92.68431984896502,-267.44879044021707,,,,,,,-317.0155370364339,-156.24871838217493,0.5706521739130435,0.8571428571428571,2.4139992912436825,118.0,0.5
holiday:k5:major,5,major,KG,KGS,4,2023-01…2023-06,BUY_NOW,20,25.0,15,15,0.4666666666666667,0.5508474576271186,0.8471794871794872,,,0.6666666666666666,0.8389830508474576,0.7946127946127945,222.5766735906889,231.7318649254994,-9.155191334810496,,,,,,,-8.853910480564501,157.60175439005832,0.580110497237569,0.8571428571428571,2.1164754568509623,64.0,0.5
holiday:k5:major,5,major,KG,KGS,5,2023-07…2023-12,BUY_NOW,20,25.0,10,10,0.2,0.20155038759689922,0.9923076923076923,,,0.5,0.5271317829457365,0.9485294117647058,-71.81972187971685,-26.704775666556326,-45.11494621316052,,,,,,,-41.908104701340314,-46.26255706973914,0.3804347826086957,0.8888888888888888,2.545584412271571,117.0,0.6666666666666666
holiday:k5:major,5,major,KG,KGS,6,2024-01…2024-06,BUY_NOW,20,25.0,15,15,0.26666666666666666,0.23931623931623933,1.1142857142857143,,,0.6666666666666666,0.5726495726495726,1.164179104477612,23.259897480654217,31.12319280205631,-7.8632953214020915,,,,,,,0.7473520648892209,-29.341584496406295,0.5769230769230769,0.8571428571428571,2.2680492276652955,65.0,0.5
holiday:k5:major,5,major,KG,KGS,7,2024-07…2024-12,BUY_NOW,20,25.0,10,10,0.0,0.3282442748091603,0.0,,,0.8,0.7557251908396947,1.0585858585858585,3.1108114857882923,99.54663906237663,-96.43582757658834,,,,,,,4.455215361276243,32.48556188012487,0.3804347826086957,0.8888888888888888,2.545584412271571,116.0,0.6666666666666666
holiday:k5:major,5,major,KG,KGS,8,2025-01…2025-06,BUY_NOW,20,25.0,15,15,0.13333333333333333,0.02564102564102564,5.2,,,0.3333333333333333,0.15384615384615385,2.1666666666666665,-15.764386989088587,-221.43511533665657,205.67072834756797,,,,,,,126.50706990044291,53.18180992346408,0.580110497237569,0.9285714285714286,2.6179924173917426,64.0,0.5
holiday:k5:major,5,major,KG,KGS,9,2025-07…2025-12,BUY_NOW,20,25.0,10,10,0.3,0.2076923076923077,1.4444444444444444,,,0.5,0.5230769230769231,0.9558823529411764,86.17229996982245,-6.366992636140395,92.53929260596284,,,,,,,49.691803101948196,63.26592266130471,0.3804347826086957,0.8888888888888888,2.545584412271571,117.0,0.6666666666666666
holiday:k5:major,5,major,KG,KGS,10,2026-01…2026-06,BUY_NOW,20,25.0,10,10,0.2,0.23931623931623933,0.8357142857142857,,,0.6,0.5384615384615384,1.1142857142857143,-39.267230444437146,5.753419433060342,-45.02064987749749,,,,,,,-57.44602843264556,2.209224197829644,0.3867403314917127,0.8888888888888888,2.3193102422918757,62.0,0.6666666666666666
holiday:k1:fixed,1,fixed,KG,KGS,0,2021-01…2021-06,BUY_NOW,20,25.0,7,7,0.14285714285714285,0.1440677966101695,0.9915966386554621,,,0.5714285714285714,0.5,1.1428571428571428,16.559861611495286,-8.151508733265231,24.711370344760518,,,,,,,33.2386791849591,-2.108024031473985,0.27071823204419887,0.3333333333333333,0.661165305885779,54.0,0.3333333333333333
